"icd10","visit_type2","monthly_expenditure"
"A047","Inpatient",2457.2119
"A047","Outpatient",69.374886
"A0471","Inpatient",679.60754
"A0471","Outpatient",NA
"A0472","Inpatient",2152.8655
"A0472","Outpatient",122.19312
"A084","Inpatient",-702.66052
"A084","Outpatient",NA
"A09","Inpatient",-494.27158
"A09","Outpatient",NA
"A408","Inpatient",3151.8418
"A408","Outpatient",NA
"A4101","Inpatient",2107.9954
"A4101","Outpatient",NA
"A4102","Inpatient",2468.646
"A4102","Outpatient",NA
"A411","Inpatient",2670.8176
"A411","Outpatient",NA
"A4150","Inpatient",-101.27394
"A4150","Outpatient",NA
"A4151","Inpatient",954.61542
"A4151","Outpatient",NA
"A4152","Inpatient",1827.5435
"A4152","Outpatient",NA
"A4159","Inpatient",1841.8989
"A4159","Outpatient",NA
"A4181","Inpatient",4085.8706
"A4181","Outpatient",NA
"A4189","Inpatient",1153.7584
"A4189","Outpatient",NA
"A419","Inpatient",751.04999
"A419","Outpatient",294.89017
"A4902","Inpatient",469.26776
"A4902","Outpatient",NA
"B029","Inpatient",1050.8575
"B029","Outpatient",22.873512
"B078","Inpatient",NA
"B078","Outpatient",112.01096
"B079","Inpatient",NA
"B079","Outpatient",118.15134
"B181","Inpatient",4194.4136
"B181","Outpatient",156.11319
"B182","Inpatient",1289.9293
"B182","Outpatient",86.768105
"B1910","Inpatient",2487.7703
"B1910","Outpatient",131.5659
"B1920","Inpatient",1206.79
"B1920","Outpatient",174.24269
"B20","Inpatient",6823.5508
"B20","Outpatient",158.08624
"B349","Inpatient",NA
"B349","Outpatient",35.938419
"B351","Inpatient",3222.1045
"B351","Outpatient",9.3202629
"B353","Inpatient",NA
"B353","Outpatient",45.171391
"B370","Inpatient",2915.8345
"B370","Outpatient",91.556618
"B372","Inpatient",939.02502
"B372","Outpatient",NA
"B3749","Inpatient",5740.1294
"B3749","Outpatient",NA
"B377","Inpatient",10021.466
"B377","Outpatient",NA
"B3781","Inpatient",1115.1672
"B3781","Outpatient",NA
"B3789","Inpatient",7214.8501
"B3789","Outpatient",NA
"B379","Inpatient",429.60345
"B379","Outpatient",NA
"B49","Inpatient",6450.2017
"B49","Outpatient",NA
"B952","Inpatient",1521.3965
"B952","Outpatient",NA
"B954","Inpatient",2585.8613
"B954","Outpatient",NA
"B9561","Inpatient",2378.9224
"B9561","Outpatient",NA
"B9562","Inpatient",1684.6965
"B9562","Outpatient",440.61407
"B957","Inpatient",2820.5735
"B957","Outpatient",NA
"B961","Inpatient",911.49231
"B961","Outpatient",NA
"B9620","Inpatient",899.97949
"B9620","Outpatient",237.09984
"B964","Inpatient",954.33319
"B964","Outpatient",NA
"B965","Inpatient",2251.3086
"B965","Outpatient",NA
"B9689","Inpatient",1697.2943
"B9689","Outpatient",151.6976
"B9789","Inpatient",975.82953
"B9789","Outpatient",NA
"C01","Inpatient",NA
"C01","Outpatient",1143.113
