icd10,b_drug,se_drug,cnt
A047,98.014359,16.873436,3211
A0471,46.705299,36.247673,626
A0472,52.353367,18.992956,2301
A049,16.028345,58.349678,243
A084,-1.8988097,18.9536,2225
A09,1.7823254,18.669489,2374
A310,9.7925196,28.964808,1250
A400,-37.317307,72.409897,173
A401,-130.66852,52.294014,301
A403,6.5133157,43.367607,467
A408,54.169498,47.274681,377
A409,-64.752251,49.016602,350
A4101,22.513275,29.197813,1055
A4102,-17.643641,29.50828,994
A411,-68.189087,48.405563,359
A412,52.735806,69.672287,172
A414,-39.857605,53.756886,291
A4150,-1.7031139,31.281736,857
A4151,-5.3732982,15.966168,3362
A4152,-4.4188328,39.995819,517
A4159,-6.5070066,28.931175,998
A4181,-9.0840082,36.480103,631
A4189,-.71726829,20.295904,2095
A419,-12.730365,4.8811693,41436
A4902,66.68692,29.540365,1001
A6920,-22.167318,38.986416,638
B0229,24.51086,23.026346,1678
B029,22.546446,10.60403,7428
B078,27.734362,23.817368,1633
B079,12.533686,23.157877,1662
B182,1576.6154,12.09109,7311
B1920,264.55316,23.071692,1815
B20,69.635147,12.715275,10474
B349,13.877469,13.764168,4313
B351,12.918577,3.3771832,88263
B353,64.470749,17.788681,2868
B370,24.384411,32.035316,759
B3749,13.926707,49.158077,333
B377,-177.00685,76.717354,144
B3781,-.43981099,35.206478,645
B49,-122.89579,60.328369,233
B9561,168.13168,59.638336,241
B9562,382.52271,35.749783,658
C01,19.943363,32.492477,1362
C021,28.200426,70.079506,216
C029,109.84218,34.306194,1048
C069,-16.644064,54.863659,390
C07,3.0338941,43.480785,616
C090,-162.17352,85.567474,171
C099,-68.250504,35.178993,1021
C109,75.758598,41.214111,718
C139,16.355528,120.03745,105
C154,-29.520546,63.296524,305
C155,-13.408123,29.21562,1703
C159,5.8210359,22.679193,2673
C160,-9.9020357,36.570415,982
C162,36.473232,73.845703,214
C163,-20.20443,76.614845,191
C169,-19.784523,29.672192,1533
C170,-71.08786,71.703102,270
C180,39.790722,27.644375,1660
C181,20.821072,56.176983,481
C182,1.897598,19.943148,3252
C183,.037728619,48.125515,463
C184,60.628613,34.610039,1090
C185,145.97194,90.500763,115
C186,81.502502,38.270714,941
C187,-19.962645,20.567093,3276
C188,212.61522,62.962681,289
C189,1.3589301,11.229919,10209
C19,-3.7170558,26.443773,1720
C20,-12.307622,16.378557,6158
C210,.29844409,36.893295,986
C211,-8.8079357,45.992023,562
C218,34.670712,59.344551,346
C220,181.82703,20.572411,3436
C221,-83.170639,35.082581,1256
C228,58.684978,59.419991,291
C229,10.809571,34.441299,807
C23,125.18741,61.306953,463
C240,43.075966,61.338345,328
C241,-29.40522,61.66885,411
C250,80.468063,24.848598,2574
C251,3.7987678,40.342873,845
C252,84.797394,49.429321,621
C254,151.13405,114.50195,118
C257,-42.882015,73.48214,172
C258,345.38443,97.20092,109
C259,11.928493,19.289324,4031
C300,33.189663,108.02924,140
C320,8.4719114,40.695602,677
C321,-4.6460481,44.123051,677
C328,-16.999542,94.546135,122
C329,-19.448135,28.487484,1571
C3401,-24.051708,41.504459,614
C3402,-14.128893,50.360573,445
C3410,-77.930763,33.842503,1041
C3411,-14.112076,13.11622,7559
C3412,52.495338,15.125901,5633
C342,-61.922855,31.647896,1194
C3430,-117.98341,51.798317,512
C3431,28.559528,18.054585,3724
C3432,2.3306675,20.125664,3079
C3480,-156.97092,60.123547,318
C3481,32.024647,42.713566,737
C3482,6.8031411,61.419239,255
C3490,57.422688,8.8924389,16101
C3491,16.784851,15.100739,5107
C3492,34.021984,17.292187,3750
C37,-221.52354,96.587463,127
C411,32.113319,72.646751,225
C419,-274.63449,92.374054,131
C4339,-47.621723,69.89753,217
C434,218.8967,35.171848,899
C4359,6.8872399,27.677382,1392
C4361,-13.656034,45.874699,482
C4362,-13.03314,41.135685,623
C4371,-5.6381583,54.540184,374
C4372,47.139141,61.68013,307
C439,31.161615,20.417587,2649
C4401,4.0870929,44.527782,461
C44112,-74.363586,55.965298,306
C44119,.046668492,54.700779,313
C44212,16.41272,35.226959,704
C44219,18.034561,27.089937,1167
C44222,-3.6793227,31.744946,856
C44229,-2.5964024,36.719242,639
C44310,-8.6011143,32.651146,825
C44311,12.8781,12.414687,5702
C44319,13.020664,10.018282,8704
C44320,-17.405712,40.818089,528
C44321,.0270567,29.122627,1002
C44329,18.557129,13.421468,4768
C4441,5.3266697,15.650231,3538
C4442,-19.132668,16.19591,3399
C44519,-.26890868,13.726814,4575
C44529,-14.257355,27.362225,1140
C44612,-18.468302,31.513372,897
C44619,18.172314,31.236698,916
C44622,14.938313,16.719069,3015
C44629,23.647411,16.103203,3236
C44712,-2.8778305,40.630775,549
C44719,29.356146,40.702381,558
C44722,37.29657,20.805304,1996
C44729,63.269299,20.004578,2165
