icd10,b_mcr,se_mcr,b_total,se_total
A047,2190.3132,42.404842,2457.2119,43.983189
A0471,538.18604,105.16599,679.60754,109.08037
A0472,1944.116,44.964409,2152.8655,46.638027
A084,-785.91449,71.889938,-702.66052,74.56575
A09,-556.03394,85.424515,-494.27158,88.604095
A408,3090.3928,247.40944,3151.8418,256.61826
A4101,2118.2573,72.59742,2107.9954,75.299561
A4102,2275.7898,72.302628,2468.646,74.993805
A411,2477.1978,113.57174,2670.8176,117.79898
A4150,-111.32746,73.619064,-101.27394,76.359238
A4151,945.40747,45.039707,954.61542,46.716129
A4152,1724.73,98.29068,1827.5435,101.94915
A4159,1751.416,72.228447,1841.8989,74.916855
A4181,3788.9214,86.790535,4085.8706,90.020958
A4189,1080.9116,49.498463,1153.7584,51.340843
A419,764.49225,15.499301,751.04999,16.0762
A4902,321.1412,142.62195,469.26776,147.93047
B029,972.90479,74.369469,1050.8575,77.137573
B181,4095.5913,258.75687,4194.4136,268.38803
B182,1250.9236,50.443405,1289.9293,52.320957
B1910,2399.6201,132.30746,2487.7703,137.23207
B1920,1185.678,46.186577,1206.79,47.905685
B20,6634.3359,66.832153,6823.5508,69.31971
B351,3018.0632,61.791248,3222.1045,64.091179
B370,2849.6692,45.762863,2915.8345,47.466202
B372,949.25024,77.125038,939.02502,79.995705
B3749,5310.9512,72.313538,5740.1294,75.005119
B377,9057.7139,150.43037,10021.466,156.02954
B3781,1105.9449,90.092255,1115.1672,93.445572
B3789,6807.4956,111.57121,7214.8501,115.724
B379,409.19162,73.169739,429.60345,75.893188
B49,5873.0195,129.73233,6450.2017,134.5611
B952,1546.5326,42.572346,1521.3965,44.156929
B954,2646.2417,89.378883,2585.8613,92.70565
B9561,2348.6968,54.693077,2378.9224,56.728806
B9562,1498.5378,43.145439,1684.6965,44.751354
B957,2802.0706,81.63546,2820.5735,84.674011
B961,903.46277,39.107582,911.49231,40.563206
B9620,928.62268,25.055758,899.97949,25.988356
B964,941.81543,53.040127,954.33319,55.014332
B965,2152.2278,46.47522,2251.3086,48.20507
B9689,1683.4895,40.563164,1697.2943,42.072964
B9789,947.1745,130.99001,975.82953,135.86559
C182,3458.7312,98.631302,3590.1431,102.30245
C189,1124.8671,51.892715,1176.822,53.824211
C20,2098.3374,84.0065,2215.5667,87.133301
C220,2166.9678,93.783295,2201.6858,97.274002
C250,2480.7512,110.0248,2517.0737,114.12002
C259,-218.96107,72.759361,-283.81116,75.467537
