icd10,exp_mcr_inpatient,exp_mcr_outpatient,exp_total_inpatient,exp_total_outpatient,bene_ip,bene_op
25000,,33.218086,,41.689117,0,68
25001,,130.35272,,163.605,0,22
25002,,31.719473,,39.810001,0,18
91211,,1133.9229,,1423.2222,0,18
91217,,543.8125,,682.52686,0,16
91220,,763.17615,,957.89154,0,13
A000,5344.8037,121.03553,6010.0898,149.90767,299,2452
A001,3326.1968,167.73404,4104.21,205.99579,12,115
A009,6472.3438,164.58267,7366.1323,198.55246,47,259
A0100,3683.1104,158.78592,4251.9595,189.57323,28,388
A0101,,69.688782,,77.886284,4,101
A0102,,58.173889,,64.215553,3,47
A0103,5163.0249,137.26062,6044.8667,168.63551,30,156
A0104,,95.519012,,115.19933,11,173
A0105,,120.81389,,145.8992,2,85
A0109,7521.3555,131.43857,8093.1655,160.1873,15,51
A011,,73.91394,,92.291512,4,55
A013,,110.12167,,118.73639,6,30
A014,,65.34243,,83.262428,4,51
A020,7309.0728,434.29715,8408.0479,574.50555,4738,2434
A021,12553.619,329.9509,13534.834,402.36371,2428,474
A0220,,99.554268,,116.65455,8,173
A0221,,100.22611,,111.36777,1,16
A0222,5871.2329,212.70206,7018.54,274.25589,28,65
A0223,,104.22276,,127.46345,8,32
A0224,,293.56973,,365.19122,10,28
A0225,6192.9189,475.08847,6878.6597,590.95868,40,33
A0229,9909.1455,222.58298,10675.718,267.66895,40,41
A028,10427.029,284.75043,11320.089,442.73141,110,149
A029,5863.542,235.19566,6621.0581,298.55209,592,1496
A030,8583.9365,252.31361,9444.6738,334.50595,74,81
A031,10149.081,242.82588,11146.453,298.17029,31,27
A032,,124.60706,,145.92294,5,17
A033,9761.9727,237.63139,10762.956,282.01001,72,37
A038,8578.3535,326.26187,9732.8828,398.46338,79,58
A039,8249.6035,320.43387,9244.4922,405.04733,450,480
A040,7735.208,541.13727,8737.3887,703.34344,1423,964
A041,7077.4707,219.39421,8028.3164,273.71588,337,906
A042,5338.3911,217.4028,6058.8887,268.43344,105,189
A043,7793.9927,247.78212,8755.3486,295.98355,192,117
A044,7631.0776,579.71753,8598.0859,767.29297,1875,1477
A045,7194.4668,535.36798,8259.4746,709.992,5912,4349
A046,8104.4956,385.32733,8948.2861,482.56909,276,224
A047,8189.3247,285.37189,9096.7822,363.78336,92321,80638
A0471,8584.1309,366.06863,9399.75,466.18585,21145,18771
A0472,7811.9663,329.20868,8697.4941,422.97971,84602,77164
A048,6523.9575,113.57201,7355.1104,137.21208,2668,42827
A049,6757.1997,265.54184,7755.4912,354.78378,5674,8415
A050,7417.1357,452.38739,8523.3535,616.44019,85,197
A051,34381.469,409.27264,35637.152,504.05176,27,148
A052,,78.521858,,95.22628,8,35
A053,7011.3589,546.86774,7778.8032,701.55908,14,22
A054,6433.7139,403.54834,7134.2026,529.44476,21,48
A055,,253.14143,,323.73929,6,12
A058,6037.8281,173.58922,7021.9561,223.66661,153,398
A059,5383.3325,405.15097,6489.9375,534.59442,1837,4179
A060,5263.6016,275.14728,6137.3447,355.60168,48,277
A061,,164.90337,,196.86325,9,115
A062,4377.3174,110.72562,4657.0122,137.70795,13,55
A063,,143.14824,,173.48471,6,31
A064,4600.0522,202.52901,5324.271,261.85941,48,140
A065,3493.7561,160.72191,4035.7441,200.53276,19,46
A066,6034.3838,359.51422,6695.1934,452.62222,22,30
A067,,139.5217,,173.55635,5,96
