icd10,b_mcr,se_mcr,b_total,se_total
A047,60.067249,5.343411,69.374886,6.3751068
A0472,95.878616,5.9117537,122.19312,7.053184
A419,232.25143,2.0048149,294.89017,2.391901
B029,14.453761,2.7305903,22.873512,3.2578077
B078,90.216438,2.7723322,112.01096,3.3076088
B079,93.118477,4.3279676,118.15134,5.1636038
B181,142.55423,7.5395131,156.11319,8.9952288
B182,84.706879,2.6029787,86.768105,3.1055572
B1910,118.48972,8.1455336,131.5659,9.7182589
B1920,153.8213,3.3444879,174.24269,3.9902356
B20,151.94539,2.4348176,158.08624,2.9049275
B349,22.329454,3.6695256,35.938419,4.3780308
B351,10.190131,0.61941701,9.3202629,0.7390129
B353,37.468033,2.6835053,45.171391,3.2016315
B370,67.680923,4.2776928,91.556618,5.103622
B9562,331.12241,7.5857744,440.61407,9.0504217
B9620,157.87996,5.3790407,237.09984,6.4176159
B9689,105.08001,4.3161635,151.6976,5.1495204
C01,901.14203,7.1071458,1143.113,8.4793806
C029,603.52826,15.517903,757.54376,18.514072
C07,986.19403,9.8234043,1236.2327,11.72009
C099,741.47241,7.8726845,936.50189,9.3927279
C155,832.30585,7.1041403,1054.2538,8.4757948
C159,429.08105,5.8776217,558.17126,7.0124621
C160,487.26398,9.0135288,631.9679,10.753844
C169,508.30472,6.5706148,630.73706,7.8392572
C180,372.25803,6.2589073,479.85605,7.4673657
C182,302.59232,4.5683908,395.37253,5.4504476
C184,359.49323,7.8485966,461.50476,9.3639898
C186,432.85175,8.800601,548.18146,10.499805
C187,554.95624,4.61338,716.43628,5.5041232
C189,320.45969,2.5906878,417.52524,3.090893
C19,434.09604,6.2076077,551.00183,7.4061613
C20,490.87155,3.4698427,635.41516,4.1397934
C210,506.42679,8.5031462,637.13934,10.144918
C211,801.98499,11.680083,990.17627,13.935253
C220,1509.8645,4.7401357,1759.0709,5.6553521
C221,356.48285,7.7787738,429.9584,9.2806854
C250,721.8714,5.8602939,916.84302,6.9917889
C251,736.69623,9.2234564,947.06262,11.004305
C252,681.11755,11.491055,847.20831,13.709726
C259,419.63315,4.7127018,548.48529,5.622622
C320,683.6886,8.9899426,861.1123,10.725704
C321,797.44836,10.13279,1015.2851,12.089211
C329,404.36426,6.5966125,521.90723,7.8702741
C3400,716.98328,15.258499,910.42389,18.204582
C3401,1035.5236,9.9009752,1291.5459,11.812637
C3402,1268.7769,13.160251,1560.1959,15.701207
C3410,621.01483,7.5762882,775.29236,9.0391045
C3411,1318.4286,3.1474724,1634.8246,3.7551806
C3412,1274.3217,3.5016551,1584.2263,4.1777482
C342,1226.0629,7.2161927,1530.572,8.6094818
C3430,487.59698,18.035606,641.229,21.517889
C3431,1235.7338,4.2126694,1528.4604,5.0260434
C3432,1266.8057,4.6150827,1574.8596,5.5061545
C3480,1094.0742,10.73774,1352.748,12.810963
C3481,1449.3201,9.3785295,1785.5173,11.189319
C3482,1517.0072,12.187004,1859.0131,14.540049
C3490,624.27972,2.21714,773.5611,2.6452212
C3491,739.97534,3.6682734,908.04095,4.3765373
C3492,686.44141,4.2708006,848.28699,5.0953989
C4339,1296.7216,12.25397,1569.4034,14.619945
C434,1768.6102,8.4211016,2130.677,10.047032
C4359,1528.8474,6.3585868,1831.4431,7.5862908
C4361,1404.3767,10.114122,1689.4608,12.066938
C4362,1248.1095,9.4964266,1525.4362,11.329979
C4371,1547.0798,11.957947,1848.5599,14.266766
C4372,1541.8329,11.478016,1868.7041,13.69417
C439,1684.4875,4.6586609,1986.4153,5.558147
C4401,554.44525,13.955,700.54401,16.649405
