"icd10","visit_type2","monthly_expenditure"
"25000","Inpatient",NA
"25000","Outpatient",41.689117
"25001","Inpatient",NA
"25001","Outpatient",163.605
"25002","Inpatient",NA
"25002","Outpatient",39.810001
"91211","Inpatient",NA
"91211","Outpatient",1423.2222
"91217","Inpatient",NA
"91217","Outpatient",682.52686
"91220","Inpatient",NA
"91220","Outpatient",957.89154
"A000","Inpatient",6010.0898
"A000","Outpatient",149.90767
"A001","Inpatient",4104.21
"A001","Outpatient",205.99579
"A009","Inpatient",7366.1323
"A009","Outpatient",198.55246
"A0100","Inpatient",4251.9595
"A0100","Outpatient",189.57323
"A0101","Inpatient",NA
"A0101","Outpatient",77.886284
"A0102","Inpatient",NA
"A0102","Outpatient",64.215553
"A0103","Inpatient",6044.8667
"A0103","Outpatient",168.63551
"A0104","Inpatient",NA
"A0104","Outpatient",115.19933
"A0105","Inpatient",NA
"A0105","Outpatient",145.8992
"A0109","Inpatient",8093.1655
"A0109","Outpatient",160.1873
"A011","Inpatient",NA
"A011","Outpatient",92.291512
"A013","Inpatient",NA
"A013","Outpatient",118.73639
"A014","Inpatient",NA
"A014","Outpatient",83.262428
"A020","Inpatient",8408.0479
"A020","Outpatient",574.50555
"A021","Inpatient",13534.834
"A021","Outpatient",402.36371
"A0220","Inpatient",NA
"A0220","Outpatient",116.65455
"A0221","Inpatient",NA
"A0221","Outpatient",111.36777
"A0222","Inpatient",7018.54
"A0222","Outpatient",274.25589
"A0223","Inpatient",NA
"A0223","Outpatient",127.46345
"A0224","Inpatient",NA
"A0224","Outpatient",365.19122
"A0225","Inpatient",6878.6597
"A0225","Outpatient",590.95868
"A0229","Inpatient",10675.718
"A0229","Outpatient",267.66895
"A028","Inpatient",11320.089
"A028","Outpatient",442.73141
"A029","Inpatient",6621.0581
"A029","Outpatient",298.55209
"A030","Inpatient",9444.6738
"A030","Outpatient",334.50595
"A031","Inpatient",11146.453
"A031","Outpatient",298.17029
"A032","Inpatient",NA
"A032","Outpatient",145.92294
"A033","Inpatient",10762.956
"A033","Outpatient",282.01001
"A038","Inpatient",9732.8828
"A038","Outpatient",398.46338
"A039","Inpatient",9244.4922
"A039","Outpatient",405.04733
"A040","Inpatient",8737.3887
"A040","Outpatient",703.34344
"A041","Inpatient",8028.3164
"A041","Outpatient",273.71588
"A042","Inpatient",6058.8887
"A042","Outpatient",268.43344
"A043","Inpatient",8755.3486
"A043","Outpatient",295.98355
"A044","Inpatient",8598.0859
"A044","Outpatient",767.29297
"A045","Inpatient",8259.4746
"A045","Outpatient",709.992
"A046","Inpatient",8948.2861
"A046","Outpatient",482.56909
"A047","Inpatient",9096.7822
"A047","Outpatient",363.78336
"A0471","Inpatient",9399.75
"A0471","Outpatient",466.18585
"A0472","Inpatient",8697.4941
"A0472","Outpatient",422.97971
"A048","Inpatient",7355.1104
"A048","Outpatient",137.21208
"A049","Inpatient",7755.4912
"A049","Outpatient",354.78378
"A050","Inpatient",8523.3535
"A050","Outpatient",616.44019
"A051","Inpatient",35637.152
"A051","Outpatient",504.05176
"A052","Inpatient",NA
"A052","Outpatient",95.22628
"A053","Inpatient",7778.8032
"A053","Outpatient",701.55908
"A054","Inpatient",7134.2026
"A054","Outpatient",529.44476
"A055","Inpatient",NA
"A055","Outpatient",323.73929
"A058","Inpatient",7021.9561
"A058","Outpatient",223.66661
"A059","Inpatient",6489.9375
"A059","Outpatient",534.59442
"A060","Inpatient",6137.3447
"A060","Outpatient",355.60168
"A061","Inpatient",NA
"A061","Outpatient",196.86325
"A062","Inpatient",4657.0122
"A062","Outpatient",137.70795
"A063","Inpatient",NA
"A063","Outpatient",173.48471
"A064","Inpatient",5324.271
"A064","Outpatient",261.85941
"A065","Inpatient",4035.7441
"A065","Outpatient",200.53276
"A066","Inpatient",6695.1934
"A066","Outpatient",452.62222
"A067","Inpatient",NA
"A067","Outpatient",173.55635
"A0681","Inpatient",NA
"A0681","Outpatient",156.44168
"A0682","Inpatient",7862.6792
"A0682","Outpatient",171.94876
"A0689","Inpatient",NA
"A0689","Outpatient",73.851685
"A069","Inpatient",NA
"A069","Outpatient",146.25034
"A070","Inpatient",NA
"A070","Outpatient",144.18759
"A071","Inpatient",9196.3281
"A071","Outpatient",311.59378
"A072","Inpatient",10560.953
"A072","Outpatient",434.00351
"A073","Inpatient",1224.4016
"A073","Outpatient",146.15428
"A074","Inpatient",7368.1104
"A074","Outpatient",264.72797
"A078","Inpatient",8026.9653
"A078","Outpatient",149.66486
"A079","Inpatient",4334.73
"A079","Outpatient",126.65309
"A080","Inpatient",6803.8271
"A080","Outpatient",898.24341
"A0811","Inpatient",7025.4004
"A0811","Outpatient",900.09338
"A0819","Inpatient",6673.5649
"A0819","Outpatient",594.95557
"A082","Inpatient",11488.979
"A082","Outpatient",530.88977
"A0831","Inpatient",1756.2892
"A0831","Outpatient",283.17691
"A0832","Inpatient",6912.4082
"A0832","Outpatient",907.7041
"A0839","Inpatient",7963.521
"A0839","Outpatient",533.61182
"A084","Inpatient",6779.4971
